OK,好的,OK,ButtonOK,好的
"Eventually they were approached by General Taras Volkov. They had served under him before and now he was recruiting for a special unit in the AltaTek corporation - Irbis. The money was good so they agreed: their job didn’t change much but now they were paid a lot more. Two best friends, they were having the time of their lives killing people for money. But one day their friendship came to a very tragic end.",    最后他们接触到了塔拉斯·沃尔科夫将军。他们之前曾当过他的手下，现在他正为阿尔泰公司的特殊部门“雪豹”招募人手。钱给的不少，所以他们接受了：他们的工作内容没多大变化，但报酬却多了不少。两个最好的朋友，他们过着杀人赚钱的生活。但有一天，他们的友谊走向了非常悲惨的结局。,LocalizationKeyCodexChapterInfosSergey2,CodexMenu,最终他们被塔拉斯沃尔科夫将军接触。他们之前曾在他手下服役，现在他正在招募阿尔泰公司的一个特殊部门 -  雪豹。有钱能使鬼推磨，所以他们欣然接受：他们的工作没有太大的改变，但现在他们获得了更多的报酬。两个最好的朋友，他们有时间为了钱而杀人。但有一天，他们的友谊走向了一个非常悲惨的结局。
"Despite its size, this ancient monastery remained hidden to the rest of the world thanks to its secluded location, deep in mountains covered with thick forests. Built on the ruins of an even older monastery that was destroyed by an earthquake, the Temple remains one of the few places on Earth untouched by modern technology.",    尽管规模很大，但作为被密林所覆盖的深山隐寺，这座古老的寺庙经历着与世隔绝的时光。这座寺庙建于之前被地震所毁的更古老的寺庙之上，它仍是少数几个未被地球现代科技所触及的地方之一。,LocalizationKeyCodexChapterInfosTemple1,CodexMenu,尽管规模很大，但得益于它隐蔽的地理位置和深处覆盖着的浓密的森林，这座古老的修道院与世隔绝，屹立在被地震摧毁的更为古老的修道院的废墟上，仍然是地球上现代科技未触及过的少数几个地方之一。
    His past is mostly unknown while his present is the same as all the other monks in the monastery. Some twenty years ago Vasily crashed his heliplane in the mountains near the Temple of the Vanishing Star. He became a permanent resident thanks to Master Lei - the abbot of the monastery - who decided to let Vasily join the monastery. Master Lei invited him to become his pupil even though Vasily knew next to nothing about their religion and looked less like someone searching for spirituality and more like someone who was looking for shelter from his damaging past.,    虽然他有着无人知晓的过去，但他的现在已与寺里其他僧人别无两样。大约二十年前，瓦西里搭乘的直升机坠毁在逝星庙附近的山上。幸得寺庙住持雷师傅的收留，他才能成为寺庙的永久居民。尽管瓦西里对他们的宗教一无所知，而且他看起来不像是要寻求顿悟，更像是要逃避悲痛过往的人，雷师傅还是将其收为徒弟。,LocalizationKeyCodexChapterInfosVasily1,CodexMenu,"""他的样子和修道院里的所有其他僧侣差不多却有着神秘的过去。大约二十年前，瓦西里搭乘的直升飞机在逝星庙附近的山上坠毁。寺院的住持雷师父决定收留瓦西里入寺，就这样他成为了寺院的‘永久居民’。雷师傅想收其为徒，尽管瓦西里几乎完全不了解他们的宗教信仰，并且看起来不像是寻求顿悟的人，而更像是在想方设法隐藏过去。"""
"    At first Vasily was mostly interested in the physical aspects of monastic life such as the martial arts techniques. But years passed, and with the help of Master Lei, he became more spiritual and was able to find his inner peace. His nightmares eventually stopped and he achieved harmony. Or at least that’s what he thought.",    起初，最让瓦西里感兴趣的是僧人生活的物质面，比如武术技巧。但在雷老师的多年帮助下，他的精神变得更加强大，能够追寻自己内心的平静。他的噩梦终于停止并且获得了协调。或者说至少他是这么认为的。,LocalizationKeyCodexChapterInfosVasily2,CodexMenu,"""起初，瓦西里最感兴趣的是寺庙生活的物质层面，比如武术技巧。但多年过去了，在雷老师的帮助下，他的精神变得更为强大，能够追寻内心的平静。他最终停止了噩梦，实现了和谐。或者至少他是这么认为的。"""
"Rumour has it that Taras Volkov was never actually a general. That back in the army he was a colonel and had been refused promotion several times. Eventually he became disappointed with the army administration for being too slow to adopt the latest technologies, and in 2022 he quit and moved to Serbia to head a local mercenary group. The group flourished under his command and thanks to his modernisations became very well known around the world - validating his feelings of superiority. Eventually Volkov was invited to AltaTek as their Chief of Security. He agreed on the condition that he would have full control over the department - particularly with regards to any changes made to  current and future security personnel.",    有传言说，塔拉斯·沃尔科夫从未当过真正的将军。他曾是军队的上校，而且晋升请求被拒绝了好几次。最后，因对军队管理层迟迟未能采用最新技术感到失望，而于2022年退伍，并去了塞尔维亚领导当地的雇佣军团队。这支队伍在他的指挥下蓬勃发展，并凭借其现代化程度为世界所知——这证实了他理念的先进性。最终沃尔科夫被邀请加入阿尔泰担任安保主任。他同意了，前提是保证他能完全掌控该部门——尤其是对现有和未来安保人员进行任意改造一事。,LocalizationKeyCodexChapterInfosVolkov1,CodexMenu,"""有传言说，塔拉斯·沃尔科夫实际上从来都不是将军。在军队中，他曾是一名上校，并多次被拒绝晋升。最终他对军队管理部门迟迟不能采用最新技术感到失望，并于2022年退出并搬到塞尔维亚领导当地的雇佣军团队。这个集团在他的指挥下蓬勃发展，并凭借其现代化程度在世界各地非常知名——证实了他理念的优越性。最终沃尔科夫被邀请到阿尔泰担任安全总监。他同意的条件是对该部门的完全控制——尤其是对现有和未来的安全人员所做的任何改造。"""
"In the early 2030s, General Volkov decided to start implementing AltaTek’s experimental technologies on his troops. There were a couple of accidents but he had an almost unlimited supply of the most notorious mercenaries in the world waiting in line. Some fifteen years later, soon after Volkov was appointed as the director of Acropolis, he also started chemical augmentations of himself. To fight the ageing process he ordered the scientists to develop chemical compounds to help his withering body. After a couple of successful tries, his system began to reject the compounds and start to mutate uncontrollably - even long after the experiments stopped. Volkov’s passion for innovation came back to bite him. Now he never leaves his quarters at the core of Section Alpha, only ever seen by high ranking executives.",    2030年代初，沃尔科夫将军决定将阿尔泰科技的实验技术应用到自己的军队上。虽然出了几起事故，但他那世界上最为臭名昭著的雇佣军有着几乎无限的佣兵人选。大约十五年后，就在沃尔科夫被任命为卫城主任后不久，他也开始用化学增强自己。为了抗击衰老过程，他命令科学家开发化合物来帮助他枯萎的身体。在经过几次成功的尝试后，他的身体开始排斥这些化合物，并不受控制地发生变异——甚至在实验停止后都还持续了很长一段时间。沃尔科夫对新事物的热情最终反噬了他。现在，他再也无法离开自己在阿尔法区域核心位置的住所，能见的人也只有高级管理人员。,LocalizationKeyCodexChapterInfosVolkov2,CodexMenu,在2030年代初，沃尔科夫将军决定开始在他的部队应用阿尔泰的实验技术。虽然发生了几起事故，但他有着几乎无限制的世界上最臭名昭着的雇佣军排队等候供应。大约十五年后，沃尔科夫被任命为卫城总监后不久，他也开始对自己进行化学增效。为了抗击衰老过程，他命令科学家开发化学化合物来帮助他的减缓身体的枯萎。经过几次成功尝试之后，他的系统开始排斥这些化合物，并开始无法控制地发生变异，甚至在实验停止后很长一段时间还在继续。沃尔科夫对新事物的热情反噬了他。现在，他从不离开自己在阿尔法区域核心的住所，只有高层执行人员才有机会接触。
ACROPOLIS,卫城研究所,LocalizationKeyCodexChapterNamesAcropolis,CodexMenu,雅典卫城研究所
ALTATEK,阿尔泰科技,LocalizationKeyCodexChapterNamesAltatek,CodexMenu,阿尔泰科技
MASTER LEI,雷师傅,LocalizationKeyCodexChapterNamesMaster,CodexMenu,雷师父
MONKS,僧人,LocalizationKeyCodexChapterNamesMonks,CodexMenu,僧侣
FYODOR SAKHAROV,费奥多·萨哈罗夫,LocalizationKeyCodexChapterNamesSakharov,CodexMenu,费奥多·萨哈罗夫
SERGEY “BERKUT” KALGANOV,谢尔盖“贝尔库特”科尔加诺夫,LocalizationKeyCodexChapterNamesSergey,CodexMenu,谢尔盖 “贝库特” 科尔加诺夫
THE TEMPLE OF THE VANISHING STAR,逝星庙,LocalizationKeyCodexChapterNamesTemple,CodexMenu,逝星庙
VASILIY,瓦西里,LocalizationKeyCodexChapterNamesVasily,CodexMenu,瓦西里
GENERAL TARAS VOLKOV,塔拉斯·沃尔科夫将军,LocalizationKeyCodexChapterNamesVolkov,CodexMenu,塔拉斯·沃尔科夫将军
AIM,瞄准,ControlsMenuGamepadControlAim,ControlsMenu,瞄准
PUNCH,攻击,ControlsMenuGamepadControlAttack,ControlsMenu,攻击
BLOCK / PARRY,格挡 / 招架,ControlsMenuGamepadControlBlock,ControlsMenu,格挡 / 闪避
DROP MELEE WEAPON,丢弃近战武器,ControlsMenuGamepadControlDrop,ControlsMenu,丢弃近战武器
EXECUTE / ENVIRONMENT,处决 / 环境互动,ControlsMenuGamepadControlExecution,ControlsMenu,处决/环境互动
KICK,踢,ControlsMenuGamepadControlHeavyAttack,ControlsMenu,踢
LOOK AROUND,观察,ControlsMenuGamepadControlLoock,ControlsMenu,观察
MOVE,移动,ControlsMenuGamepadControlMove,ControlsMenu,移动
PAUSE / MENU,暂停 / 菜单,ControlsMenuGamepadControlPause,ControlsMenu,暂停 / 菜单
PICK UP / USE,拾取 / 使用,ControlsMenuGamepadControlPickup,ControlsMenu,拾取 / 使用
ROLL,翻滚,ControlsMenuGamepadControlRoll,ControlsMenu,翻滚
SHOOT,射击,ControlsMenuGamepadControlShoot,ControlsMenu,射击
UPGRADE,升级,ControlsMenuGamepadControlUpgrades,ControlsMenu,升级
USE,使用,ControlsMenuGamepadControlUse,ControlsMenu,使用
CONTROLLER,控制器,ControlsMenuGamepadLabel,ControlsMenu,控制器
AIM,瞄准,ControlsMenuKeyboardControlAim,ControlsMenu,瞄准
PUNCH,拳技,ControlsMenuKeyboardControlAttack,ControlsMenu,攻击
BLOCK / PARRY,格挡 / 招架,ControlsMenuKeyboardControlBlock,ControlsMenu,格挡 / 闪避
DROP MELEE WEAPON,丢弃近战武器,ControlsMenuKeyboardControlDrop,ControlsMenu,丢弃近战武器
KICK,踢,ControlsMenuKeyboardControlHeavyAttack,ControlsMenu,踢
LOOK AROUND,观察四周,ControlsMenuKeyboardControlLoock,ControlsMenu,观察
MOVE DOWN,向下移动,ControlsMenuKeyboardControlMoveDown,ControlsMenu,下移
MOVE LEFT,向左移动,ControlsMenuKeyboardControlMoveLeft,ControlsMenu,左移
MOVE RIGHT,向右移动,ControlsMenuKeyboardControlMoveRight,ControlsMenu,右移
MOVE UP,向上移动,ControlsMenuKeyboardControlMoveUp,ControlsMenu,上移
PAUSE / MENU,暂停 / 菜单,ControlsMenuKeyboardControlPause,ControlsMenu,暂停 / 菜单
PICKUP / USE,拾取 / 使用,ControlsMenuKeyboardControlPickup,ControlsMenu,拾取 / 使用
AIM,瞄准,ControlsMenuKeyboardControlPullGun,ControlsMenu,瞄准
ROLL,翻滚,ControlsMenuKeyboardControlRoll,ControlsMenu,翻滚
RESET DEFAULT,重置为默认,ControlsMenuKeyboardControlSetDefaultBinds,ControlsMenu,默认设置
SHOOT,射击,ControlsMenuKeyboardControlShoot,ControlsMenu,射击
KILL / USE ENVIRONMENT,击杀 / 利用环境,ControlsMenuKeyboardControlThrowExecute,ControlsMenu,击杀 / 利用环境
KEYBOARD,键盘,ControlsMenuKeyboardLabel,ControlsMenu,键盘
ARENA has been unlocked,竞技场已解锁,ArenaWasUnlocked,Game,竞技场已解锁
CHECKPOINT,检查点,Checkpoint,Game,检查点
GLOSSARY has been updated,资料库已更新,CodexWasUpdated,Game,资料库已更新
Press,按,ControllerAssignment_Press,Game,按下
to continue,继续,ControllerAssignment_ToContinue,Game,继续
COOP,合作,CoopOption,Game,双人
FINAL WAVE,最后一波,FinalWave,Game,最后一波
Upgrade,升级,ForceUpgradeButton,Game,升级
ENEMIES KILLED {0},杀敌数 {0},KillAmount,Game,杀敌数｛0｝
LOCKED,未解锁,Locked,Game,锁定
You have found an ancient MANUSCRIPT! Press {0} to upgrade one of the MONK SKILLS.,你找到了一份古老的手稿！按 {0} 来升级其中一项武僧技能。,ManuscriptWasFound,Game,你已经找到了一张古老的手稿！按{0}升级其中一个武僧技能。
FAIL,失败,MissionFail,Game,失败
COMPLETE,完成,MissionSuccess,Game,完成
No controller found for 2nd player,未找到第2位玩家的控制器,NoSecondControllerMessage,Game,没有为第二个玩家找到控制器
Your progress will not be saved until you signin your account in main menu.,在登录账号前你的进度将不会被保存。,NoSignInNoProgressSave,Game,在登录账号之前你的进度将不会被保存。
Perks,天赋,OpenPerksListTipButton,Game,天赋
Press {0} to pick a PERK,按 {0} 来选择一项天赋,PerkWasUnlocked,Game,按下 {0} 选择一个天赋
Perks amount: {0},天赋点：{0},PerksAmount,Game,天赋点 {0}
SCROLL has been unlocked,卷轴已解锁,ScrollsWasUpdated,Game,卷轴已入手
Stat was upgraded,属性已升级,StatWasUpgraded,Game,属性已升级
You have found an AltaTek TABLET! Press {0} to upgrade one of the SOLDIER SKILLS.,你找到了阿尔泰平板！按 {0} 来升级其中一项士兵技能。,TabletWasFound,Game,你已经找到了阿尔泰平板！按{0}升级其中一个佣兵技能。
Unlock,解锁,UnlockPerkTipButton,Game,解锁
{0} WAVES REMAIN,剩余 {0} 波敌人,WavesRemain,Game,{0} 波次剩余
MELEE ATTACKS,近战攻击,LocalizationKeyHowToPlayAttack,HowToPlayMenu,近战攻击
ROLL ATTACKS,翻滚攻击,LocalizationKeyHowToPlayAttackFromRoll,HowToPlayMenu,翻滚攻击
BLOCK,格挡,LocalizationKeyHowToPlayBlock,HowToPlayMenu,格挡
CHARGE ATTACK,蓄力一击,LocalizationKeyHowToPlayChargeAttack,HowToPlayMenu,蓄力一击
DISARM,缴械,LocalizationKeyHowToPlayDisarm,HowToPlayMenu,缴械
ENVIRONMENT KILL,环境处决,LocalizationKeyHowToPlayFurniture,HowToPlayMenu,环境击杀
LOOK AROUND,观察四周,LocalizationKeyHowToPlayListening,HowToPlayMenu,观察
MOVE,移动,LocalizationKeyHowToPlayMovement,HowToPlayMenu,移动
ACTION,动作,LocalizationKeyHowToPlayOpenDoor,HowToPlayMenu,动作
PARRY,招架,LocalizationKeyHowToPlayParry,HowToPlayMenu,闪避
PICK UP,拾取,LocalizationKeyHowToPlayPickup,HowToPlayMenu,拾取
ROLL,翻滚,LocalizationKeyHowToPlayRoll,HowToPlayMenu,翻滚
SHOOT,射击,LocalizationKeyHowToPlayShoot,HowToPlayMenu,射击
STEALTH KILL,暗杀,LocalizationKeyHowToPlaySilentKill,HowToPlayMenu,潜行击杀
EXECUTION,处决,LocalizationKeyHowToPlayStunKill,HowToPlayMenu,处决
THROW ,投掷,LocalizationKeyHowToPlayThrowCrate,HowToPlayMenu,投掷
DEATHS {0},死亡次数 {0},DeathsAmountInfo,LevelSelectMenu,死亡 {0}
BACK,返回,LevelSelectMenuBackButton,LevelSelectMenu,返回
Level select screen basic info,LevelSelectMenuBasicInfo,LevelSelectMenuBasicInfo,LevelSelectMenu,LevelSelectMenuBasicInfo
8. DOWN THE PRIMROSE PATH,8. 堕入歧途,LevelSelectMenuLevel10Name,LevelSelectMenu,8.离开极乐世界
